launcher,rocket,frame,seconds
33,12,122,5.041666666666667
33,13,128,5.291666666666667
33,14,134,5.541666666666667
33,15,140,5.791666666666667
33,16,146,6.041666666666667
33,17,152,6.291666666666667
33,18,158,6.541666666666667
33,19,164,6.791666666666667
33,20,170,7.041666666666667
33,21,176,7.291666666666667
33,22,182,7.541666666666667
33,23,188,7.791666666666667
33,24,194,8.041666666666666
34,1,57,2.3333333333333335
34,2,63,2.5833333333333335
34,3,69,2.8333333333333335
34,4,75,3.0833333333333335
34,5,81,3.3333333333333335
34,6,87,3.5833333333333335
34,7,93,3.8333333333333335
34,8,99,4.083333333333333
34,9,105,4.333333333333333
34,10,111,4.583333333333333
34,11,117,4.833333333333333
34,12,123,5.083333333333333
34,13,129,5.333333333333333
34,14,135,5.583333333333333
34,15,141,5.833333333333333
34,16,147,6.083333333333333
34,17,153,6.333333333333333
34,18,159,6.583333333333333
34,19,165,6.833333333333333
34,20,171,7.083333333333333
34,21,177,7.333333333333333
34,22,183,7.583333333333333
34,23,189,7.833333333333333
34,24,195,8.083333333333334
35,1,57,2.3333333333333335
35,2,63,2.5833333333333335
35,3,69,2.8333333333333335
35,4,75,3.0833333333333335
35,5,81,3.3333333333333335
35,6,87,3.5833333333333335
35,7,93,3.8333333333333335
35,8,99,4.083333333333333
35,9,105,4.333333333333333
35,10,111,4.583333333333333
35,11,117,4.833333333333333
35,12,123,5.083333333333333
35,13,129,5.333333333333333
35,14,135,5.583333333333333
35,15,141,5.833333333333333
35,16,147,6.083333333333333
35,17,153,6.333333333333333
35,18,159,6.583333333333333
35,19,165,6.833333333333333
35,20,171,7.083333333333333
35,21,177,7.333333333333333
35,22,183,7.583333333333333
35,23,189,7.833333333333333
35,24,195,8.083333333333334
36,1,57,2.3333333333333335
36,2,63,2.5833333333333335
36,3,69,2.8333333333333335
36,4,75,3.0833333333333335
36,5,81,3.3333333333333335
36,6,87,3.5833333333333335
36,7,93,3.8333333333333335
36,8,99,4.083333333333333
36,9,105,4.333333333333333
36,10,111,4.583333333333333
36,11,117,4.833333333333333
36,12,123,5.083333333333333
36,13,129,5.333333333333333
36,14,135,5.583333333333333
36,15,141,5.833333333333333
36,16,147,6.083333333333333
36,17,153,6.333333333333333
36,18,159,6.583333333333333
36,19,165,6.833333333333333
36,20,171,7.083333333333333
36,21,177,7.333333333333333
36,22,183,7.583333333333333
36,23,189,7.833333333333333
36,24,195,8.083333333333334
37,1,53,2.1666666666666665
37,2,59,2.4166666666666665
37,3,65,2.6666666666666665
37,4,71,2.9166666666666665
37,5,77,3.1666666666666665
37,6,83,3.4166666666666665
37,7,89,3.6666666666666665
